"neither","permhc","dist5","dist15","avail","somepriv","notpriv","device","voucher","cash","pricenone","pricevoucher","pricecash","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
0,0,0,0,0,0,0,0,0,0,0,0,0,-5352.43907039103
-0.0176384,0.0169941333333333,0.00867840000000001,0.00877226666666667,0.0576768,0.00566613333333334,0.00458666666666667,-0.000204799999999997,0.00997973333333334,0.00946773333333334,-0.0139093333333333,-0.0917162666666667,-0.0886272000000001,-4271.77066075559
-0.0395618252330719,0.0457308539927413,0.029761358419431,0.012518370903338,0.118742441458706,0.0125395553643318,0.0100830535529432,-0.00318925494615125,0.0141871107956111,0.0116886003287865,0.0635050547763188,-0.0830511169747134,-0.0821229559806413,-4212.76948895821
-0.0943772515042547,0.177489031345183,0.0974510015848912,0.0312198588342559,0.0531052410003534,0.0306752177175347,0.0139766423921295,-0.0677809848163776,0.0411217965132337,0.017926812366895,0.11885436168799,-0.110346062262788,-0.0710576045906632,-4190.65376858585
-0.109815164879183,0.214440858266591,0.116676186475743,0.0359705926018629,0.0369318425779074,0.0360928609746466,0.0148881052707921,-0.0867857816684979,0.0473174167473825,0.0213429257974957,0.12993093713681,-0.103872720597367,-0.0800494521519674,-4169.1707328453
-0.223398224147071,0.470011856666188,0.258328575953882,0.0569547199771979,0.059156356271335,0.085739338370095,0.0121810514970884,-0.264916363883885,0.100822611127579,0.0462245601600068,0.0558538625284458,-0.049335717075514,-0.0338698344391525,-4061.9954696507
-0.287168824160661,0.515994579216658,0.176136753158071,0.151820647142379,0.0724622852838842,-0.04390112498379,0.0159898610506192,-0.400080171283909,0.128909385605927,0.0893187374770668,0.0570970033869682,-0.0340576966136715,-0.0234725657583674,-4045.77103073672
-0.359900361813098,0.51422714111227,0.153641834302859,0.1490694543801,0.069641518701852,-0.0796018872243122,-0.0672083518806712,-0.41157727919056,0.149946983311971,0.140026753940494,0.0579179086404183,-0.0304858630477224,-0.0177421054603133,-4038.52847789977
-0.473993661654993,0.503179949289077,0.142377002862643,0.101553481879287,0.0599433459247365,-0.136452214948039,-0.0648057283019566,-0.398384491178151,0.178441477322282,0.204124776089794,0.049409434701122,-0.0254775859433364,-0.00810420224195082,-4032.43830456098
-0.871974155365289,0.422276582507635,-0.0930965654984383,-0.0057070192826006,0.0160975811086846,0.0157541864736658,0.00527624104110232,-0.469504768559928,0.234658079082558,0.378598753732671,0.0535137835153913,-0.0147227232258703,0.0150490481902118,-4028.84816349656
-0.953522651033908,0.448515817848535,-0.203941211923163,-0.187645943750072,0.0129435342522891,0.0155712894686105,-0.00565179311168623,-0.56133390703109,0.141560925688198,0.385462105973535,0.0717961251833605,-0.0327072986297048,0.00794747336652876,-4027.36881365888
-1.25045371301115,0.851387726970926,-0.773769241323677,-0.650561862413216,0.027930115835962,0.00263328582320647,-0.0365405510192604,-0.523054154790467,-0.265474899657684,0.378890271235725,0.0498371964141494,-0.0626615360311776,0.0250904794018011,-4016.39766934169
-0.520815071775881,1.25790114619186,-0.853669261816461,-0.858680797884388,0.0759101754776509,0.099941606175649,0.0324779595932595,-0.533898778424383,-0.0218090067437824,1.75515936391057,0.089666770789579,-0.111070537246278,0.0853257631184859,-3865.91096086057
-1.39706179169794,0.767889264915199,-0.121481459803274,-0.175017471057955,0.0541907065388528,-0.118615306294601,-0.190984025712101,-0.529198859767466,-0.0361495236593727,0.291670514168176,-0.0579732323216298,-0.0457980274630903,-0.0429798042974208,-3726.61737876822
-1.34549085990361,0.825960749122747,-0.235008515377336,-0.294305732088576,0.0672016146668135,-0.133218044126664,-0.215969410657209,-0.517727684167172,0.310507620826445,0.122112709582585,-0.046598627500426,-0.0166008596891384,-0.0717926168537787,-3726.19200169713
-1.36546506705974,0.8510605175057,-0.167293825608494,-0.226419452987528,0.0760680209205961,-0.0843176622181961,-0.152904669215957,-0.572239755528635,0.17156486491394,0.430071829920997,-0.0283836778422061,-0.0291741303480201,-0.0226693407084935,-3705.87138949057
-1.45032663019249,0.828070933037222,-0.175003299304574,-0.225029528327708,0.0732860602084197,-0.0908420016478834,-0.154177408284143,-0.552476304193217,0.149445724348521,0.440412665160139,-0.0219756548120734,-0.0336464719877686,-0.0224320622779736,-3703.5482431997
-1.49550733902593,0.810518156573577,-0.176966189128987,-0.223088114622577,0.072706387315682,-0.0939753741995549,-0.154474401415118,-0.54113677241404,0.158636332520823,0.416983899832455,-0.0184564593731688,-0.0349424415076226,-0.0272196511757591,-3703.08404730288
-1.49682520183224,0.810559979629458,-0.175743264056551,-0.222816259434933,0.072912804973832,-0.0940218356131061,-0.154300017703362,-0.541273191004176,0.160195380404961,0.414982095876045,-0.0183826102015278,-0.0348915622094796,-0.0276547965916465,-3703.0807316167
-1.49694262977595,0.810805555468584,-0.175519135842986,-0.222802001904294,0.0729318397575277,-0.0939657358869564,-0.15426920571057,-0.541431775337597,0.1602412014631,0.414999256934055,-0.0184200065115005,-0.0348700586523839,-0.0276594050811286,-3703.08066251682
-1.4969963301637,0.810863184274821,-0.175541404840022,-0.222826726696394,0.0729294188216436,-0.0939522168307283,-0.154270080340595,-0.541458457213283,0.160215798708161,0.415053520604688,-0.0184306263772179,-0.0348659870684526,-0.0276482133780729,-3703.08066128416
-1.49699634118483,0.810863227504288,-0.175541392181978,-0.222826722325367,0.0729293731307946,-0.0939521818605772,-0.154270088640526,-0.541458471852631,0.160215800816245,0.415053533559626,-0.0184307451195219,-0.0348659419225624,-0.0276482341329785,-3703.08066128373
-1.49699827707444,0.810865054255731,-0.175541498879746,-0.222826579541536,0.0729293382624067,-0.093952159515778,-0.154270124617998,-0.54145822316835,0.160215850918098,0.415053204253781,-0.0184307480257867,-0.0348659536510134,-0.0276482114828596,-3703.08066128017
