task,facility1,distance1,available1,method1,privacy1,incentive1,price1,facility2,distance2,available2,method2,privacy2,incentive2,price2,facility3,distance13,distance53,distance153,available3,method3,veryprivate3,someprivate3,notprivate3,none3,voucher3,cash3,price3,block
1,0,1,5,0,1,0,0,1,15,3,1,2,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,5,5,1,1,0,8,1,15,1,0,2,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,5,3,0,1,2,-12,0,5,5,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,15,5,0,0,1,-12,1,5,1,1,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,5,5,0,1,2,-12,1,5,3,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,15,3,0,0,1,-8,0,1,5,1,1,2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,5,1,0,2,2,-12,1,15,5,1,1,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,5,3,1,2,1,-8,0,5,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,5,5,1,0,0,8,1,5,3,0,2,2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,15,3,1,2,0,8,1,5,3,0,0,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,15,1,0,1,1,-4,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1,5,1,1,1,0,4,1,15,5,0,0,2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,15,1,0,2,2,-12,1,5,5,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,1,5,1,0,2,-8,1,15,1,0,2,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1,15,3,1,0,2,-8,0,1,5,0,1,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,1,15,1,1,0,1,-4,1,5,5,0,2,2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,1,5,1,1,2,0,0,0,5,5,0,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,0,1,5,0,2,1,-8,1,15,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,1,15,5,1,1,2,-8,1,5,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,0,5,5,1,1,0,0,1,5,3,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,1,5,1,2,0,4,1,15,3,0,1,2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,1,15,5,0,0,1,-12,0,1,5,1,1,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,1,5,5,1,2,2,-4,1,15,1,0,0,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,1,5,5,0,0,2,-4,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,5,5,0,2,1,-4,1,5,1,1,0,2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,1,15,3,0,1,1,-12,0,1,5,1,0,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,1,5,3,1,2,0,8,0,5,5,0,0,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,1,5,3,0,1,1,-12,0,5,5,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,1,15,1,1,1,2,-4,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,1,15,1,1,0,2,-8,1,5,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,0,1,5,0,0,0,4,1,15,5,1,1,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,1,5,1,1,0,1,-8,1,15,5,0,2,2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1,5,5,0,1,1,-4,1,15,1,1,0,2,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10,1,5,3,0,0,0,4,1,15,3,1,2,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,1,15,5,1,2,0,0,1,5,1,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,0,5,5,0,2,2,-4,1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3